1712364;Büyüdüm Ben!;Kronik İlk Genç;Şermin Yaşar;Çocuk Kitabı;%50 INDIRIM;209;36318.56;27;47;73;62;38;122;49;173.77;360;94031.44;3.95;205.06;35633.03;52.98;B_BuyukKazanc;12;173;49;0;234;50;295;98;443;2026-05-09 00:00:00;1;2
1644711;LGS Elit Karma 10 x 10 Deneme;PARAF Yayınları;Kollektif;Hazırlık Kitapları;%50 INDIRIM;51;17824.50;9;6;21;15;17;25;9;349.50;1415;514588.95;15.51;35.49;12404.80;3.29;C_OrtaKazanc;44;34;25;0;103;61;59;34;154;2026-05-07 00:00:00;1;4
1672024;Bekle Beni;Can Yayınları;Zülfü Livaneli;Kitap;%50 INDIRIM;91;16275.00;12;16;34;29;21;59;11;178.85;3597;896157.95;39.42;51.58;9225.06;2.31;C_OrtaKazanc;38;138;69;0;245;59;197;80;336;2026-05-08 00:00:00;3;3
1680592;Annemin Uyurgezer Geceleri;Can Yayınları;Ayfer Tunç;Kitap;%50 INDIRIM;76;16150.00;11;16;30;19;25;38;13;212.50;1360;436226.88;14.90;61.10;12982.90;5.10;B_BuyukKazanc;11;66;16;0;93;36;104;29;169;2026-05-08 00:00:00;3;3
1666519;Sırların Sırrı;Altın Kitaplar;Dan Brown;Kitap;%50 INDIRIM;41;14760.00;4;11;15;11;6;29;6;360.00;1674;888998.80;18.35;22.66;8155.80;2.23;C_OrtaKazanc;7;61;30;0;98;13;90;36;139;2026-05-08 00:00:00;3;3
1709736;Kendimden Özür Dilerim;İndigo Kitap;Miraç Çağrı Aktaş;Kitap;%50 INDIRIM;84;14238.00;16;20;27;21;38;26;20;169.50;393;95089.50;4.31;79.69;13507.96;19.50;B_BuyukKazanc;74;67;56;0;197;112;93;76;281;2026-04-08 00:00:00;1;33
447796;Gece Yarısı Kütüphanesi;Domingo Yayınevi;Matt Haig;Kitap;%50 INDIRIM;76;14175.00;12;30;19;15;16;33;27;186.51;2281;552563.33;25.00;51.00;9512.73;3.04;C_OrtaKazanc;19;121;-1;22;161;35;154;26;237;2026-04-13 00:00:00;4;28
1668900;Bahçıvan ve Ölüm;Metis Yayınları;Georgi Gospodinov;Kitap;%50 INDIRIM;74;13875.00;9;14;24;27;23;39;12;187.50;1438;336681.67;15.76;58.24;10920.19;4.70;C_OrtaKazanc;46;169;50;-16;249;69;208;62;323;2026-05-08 00:00:00;3;3
1611175;Çalıkuşu;İnkılap Kitabevi;Reşat Nuri Güntekin;Kitap;%50 INDIRIM;39;13870.00;5;7;13;14;17;10;12;355.64;1454;902899.78;15.93;23.07;8203.22;2.45;C_OrtaKazanc;18;16;13;0;47;35;26;25;86;2026-04-07 00:00:00;1;34
549941;Çocuk, Köstebek, Tilki ve At;Mundi;Charlie Mackesy;Çocuk Kitabı;%50 INDIRIM;31;13175.00;6;7;12;6;6;18;7;425.00;230;145798.40;2.52;28.48;12103.58;12.30;B_BuyukKazanc;9;26;9;0;44;15;44;16;75;2026-05-07 00:00:00;1;4
